symbol,timestamp,current,open,high,low,prev_close,change,change_pct,volume
AAPL,2025-08-20T15:47:57.567039,226.01,229.98,230.47,225.77,230.56,-4.55,-1.9735,
MSFT,2025-08-20T15:47:58.392577,505.72,509.865,511,504.44,509.77,-4.05,-0.7945,
GOOGL,2025-08-20T15:47:59.228282,199.32,200.73,201.28,196.595,201.57,-2.25,-1.1162,
NVDA,2025-08-20T15:48:00.081707,175.4,175.165,176,168.801,175.64,-0.24,-0.1366,
TSLA,2025-08-20T15:48:00.915338,323.9,329.22,331.37,314.6,329.31,-5.41,-1.6428,
META,2025-08-20T15:48:01.808212,747.72,747.57,750.1999,731,751.48,-3.76,-0.5003,
